Team,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season,Leage,ln1divwmin1
Mid-Atlantic Christian,558.00,3.00,40.00,19.00,59.30,0.32,7.70,24.30,0.32,9.00,14.00,0.64,20.70,19.70,5.30,20.00,25.30,10.30,2.70,2.00,54.70,646.00,0.41,0.39,127.80,12.60,50.40,30.90,54.40,23.90,3.20,4.00,0.90,9.80,66.70,139.90,-73.20,245.90,82.00,424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.00,-60.00,0.00,1.54,0.50,0.10,0.15,0.00,3.00,0.00,2018.00,Independents Conference,6.91
Middle Georgia State,321.00,2.00,40.00,25.00,66.00,0.38,9.50,31.50,0.30,10.50,15.50,0.68,19.00,24.00,9.50,25.50,35.00,13.00,7.00,3.50,70.00,454.00,0.48,0.45,135.80,22.40,58.60,40.70,52.00,20.60,8.50,9.70,1.10,35.80,84.70,117.90,-33.30,165.30,82.70,640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,-27.50,0.00,1.52,0.70,0.40,0.16,0.00,2.00,0.00,2018.00,Independents Conference,6.91
Middle Tennessee State,167.00,33.00,40.30,27.30,58.00,0.47,7.30,19.60,0.37,13.20,17.70,0.74,12.50,19.70,9.80,24.40,34.20,14.20,6.10,2.30,75.10,35.00,0.57,0.53,158.50,30.50,78.00,53.90,51.90,15.80,8.90,7.10,1.30,53.00,109.20,96.40,12.80,2270.50,68.30,107.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,8.80,0.00,1.52,1.10,0.50,0.23,25.00,8.00,0.76,2018.00,Independents Conference,-1.14
Midway,607.00,3.00,40.10,18.00,62.30,0.29,5.70,26.00,0.22,7.70,11.30,0.68,14.70,18.30,10.00,20.00,30.00,8.70,5.30,3.00,49.30,634.00,0.36,0.33,118.30,21.90,60.60,38.10,48.10,17.80,7.40,7.10,0.80,16.40,68.30,136.50,-68.30,216.80,72.00,584.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,-49.30,0.00,1.48,0.60,0.40,0.12,0.00,3.00,0.00,2018.00,Independents Conference,6.91
Miles College,554.00,1.00,40.00,22.00,59.00,0.37,2.00,13.00,0.15,9.00,16.00,0.56,18.00,21.00,10.00,19.00,29.00,6.00,4.00,1.00,55.00,628.00,0.41,0.39,108.90,25.00,61.30,40.80,27.30,21.30,5.00,2.70,0.90,11.50,71.30,137.30,-66.10,77.20,77.20,477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,-51.00,0.00,1.27,0.30,0.20,0.15,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Milligan,427.00,3.00,39.90,24.00,64.00,0.38,8.70,28.00,0.31,8.70,15.30,0.57,14.70,21.00,9.70,20.00,29.70,14.30,7.00,2.30,65.30,538.00,0.46,0.44,125.00,22.00,60.60,38.50,59.70,17.10,9.10,6.10,1.00,34.80,85.30,131.80,-46.60,229.80,76.70,492.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,-35.70,0.00,1.60,1.00,0.50,0.14,0.00,3.00,0.00,2018.00,Independents Conference,6.91
Millsaps,632.00,2.00,40.00,15.00,47.00,0.32,8.00,29.00,0.28,7.00,13.00,0.54,26.50,21.50,9.50,19.00,28.50,9.00,6.00,2.50,45.00,624.00,0.42,0.40,113.30,27.10,56.70,41.60,60.00,33.30,8.50,5.70,1.00,8.90,64.00,128.80,-64.70,140.60,70.30,554.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,-45.50,0.00,1.60,0.30,0.20,0.15,0.00,2.00,0.00,2018.00,Independents Conference,6.91
Milwaukee,361.00,33.00,40.30,25.30,56.70,0.45,7.10,21.30,0.33,10.80,16.00,0.67,12.50,16.50,8.30,25.20,33.50,13.00,5.90,3.80,68.50,215.00,0.53,0.51,145.40,25.10,76.20,50.60,51.40,16.30,8.70,10.70,1.20,48.70,100.20,100.20,0.00,2255.60,67.80,224.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,1.51,1.00,0.50,0.19,16.00,17.00,0.49,2018.00,Independents Conference,0.06
Minnesota,166.00,32.00,40.50,26.60,61.60,0.43,6.80,19.70,0.35,15.20,21.60,0.70,11.00,15.40,10.50,26.10,36.60,14.60,5.70,5.10,75.20,214.00,0.52,0.49,148.10,28.80,71.80,50.20,54.90,13.30,7.90,12.70,1.20,56.90,104.40,104.20,0.10,2304.60,71.20,5.00,30.00,4.00,0.00,0.00,0.00,1.00,6.00,107.00,0.10,0.00,1.55,1.30,0.50,0.25,15.00,17.00,0.47,2018.00,Independents Conference,0.12
Mississippi College,573.00,1.00,40.00,22.00,63.00,0.35,6.00,28.00,0.21,3.00,4.00,0.75,16.00,17.00,6.00,17.00,23.00,12.00,7.00,1.00,53.00,554.00,0.41,0.40,131.30,14.30,58.60,32.40,54.50,19.80,9.30,2.10,0.80,18.50,70.80,120.20,-49.40,74.90,74.90,449.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,-37.00,0.00,1.55,0.80,0.40,0.05,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Mississippi State,216.00,37.00,40.30,27.00,58.10,0.47,6.90,21.70,0.32,12.40,18.00,0.69,13.00,16.60,10.30,24.50,34.80,13.30,6.60,5.40,73.40,90.00,0.55,0.52,147.50,31.50,70.30,51.50,49.10,16.30,9.50,14.80,1.30,55.30,105.70,97.60,8.10,2568.80,69.00,138.00,13.00,0.00,0.00,0.00,0.00,0.00,2.00,109.00,5.60,0.00,1.49,1.00,0.50,0.21,25.00,12.00,0.68,2018.00,Independents Conference,-0.74
Mississippi Valley State,443.00,32.00,40.60,23.70,61.80,0.38,5.30,17.80,0.30,12.10,18.00,0.68,13.20,20.60,11.80,22.80,34.60,10.20,5.80,1.70,64.80,387.00,0.46,0.43,135.90,29.70,68.80,47.40,43.10,15.80,8.20,5.10,1.00,34.50,90.80,109.40,-18.60,2284.40,70.30,333.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,90.00,-13.30,0.00,1.43,0.80,0.40,0.20,4.00,28.00,0.13,2018.00,Independents Conference,1.94
Missouri,247.00,33.00,40.30,24.10,53.50,0.45,9.30,24.20,0.38,15.30,20.80,0.73,14.20,18.00,9.60,26.10,35.70,13.40,5.20,4.20,72.70,106.00,0.57,0.54,156.70,30.70,73.00,53.30,55.80,18.30,7.50,11.30,1.40,53.10,106.20,99.40,6.80,2259.60,68.00,152.00,13.00,1.00,0.00,0.00,0.00,0.00,3.00,100.00,4.60,0.00,1.56,0.90,0.40,0.29,20.00,13.00,0.61,2018.00,Independents Conference,-0.43
Missouri-St.Louis,517.00,1.00,40.00,20.00,64.00,0.31,6.00,22.00,0.27,12.00,18.00,0.67,14.00,26.00,15.00,21.00,36.00,8.00,9.00,3.00,58.00,411.00,0.40,0.36,125.20,30.60,65.60,44.40,40.00,16.20,12.60,8.30,0.90,27.00,81.00,104.70,-23.70,71.60,71.60,433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,-17.00,0.00,1.40,0.60,0.60,0.19,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Missouri Baptist,346.00,1.00,40.00,24.00,48.00,0.50,8.00,23.00,0.35,13.00,23.00,0.57,18.00,16.00,11.00,19.00,30.00,10.00,3.00,4.00,69.00,382.00,0.59,0.58,141.30,34.40,70.40,50.80,41.70,23.40,4.30,11.80,1.40,40.60,102.30,120.10,-17.80,67.50,67.50,563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,-12.00,0.00,1.42,0.60,0.20,0.27,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Missouri S&T (Rolla),625.00,1.00,39.80,15.00,50.00,0.30,5.00,22.00,0.23,12.00,16.00,0.75,18.00,17.00,5.00,23.00,28.00,10.00,10.00,2.00,47.00,521.00,0.41,0.35,127.70,13.90,53.50,35.40,66.70,23.80,13.40,4.40,0.90,21.40,64.70,108.80,-44.10,72.60,73.00,373.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,47.00,-32.00,0.00,1.67,0.60,0.60,0.24,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Missouri State,315.00,33.00,40.20,25.80,59.20,0.44,7.10,21.40,0.33,11.40,16.00,0.72,11.60,17.40,11.20,26.50,37.70,12.90,4.60,4.10,70.10,121.00,0.53,0.50,148.20,32.90,75.90,54.60,49.90,14.80,6.90,11.20,1.20,51.90,104.40,99.20,5.20,2214.60,66.90,35.00,22.00,1.00,0.00,2.00,0.00,0.00,1.00,88.00,3.50,0.00,1.50,1.10,0.40,0.19,18.00,15.00,0.55,2018.00,Independents Conference,-0.18
MIT,449.00,1.00,40.00,22.00,54.00,0.41,7.00,19.00,0.37,13.00,21.00,0.62,19.00,28.00,9.00,25.00,34.00,13.00,8.00,1.00,64.00,352.00,0.50,0.47,139.50,24.30,69.40,46.60,59.10,22.90,11.30,3.00,1.20,32.40,88.20,100.60,-12.40,72.50,72.50,564.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,-9.00,0.00,1.59,0.70,0.40,0.24,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Mitchell College,492.00,1.00,40.00,24.00,55.00,0.44,3.00,10.00,0.30,9.00,16.00,0.56,22.00,17.00,8.00,25.00,33.00,12.00,5.00,1.00,60.00,442.00,0.48,0.46,129.90,22.90,53.20,40.20,50.00,26.00,6.60,1.90,1.10,27.00,78.80,110.40,-31.50,76.10,76.10,428.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,-24.00,0.00,1.50,0.50,0.20,0.16,0.00,1.00,0.00,2018.00,Independents Conference,6.91
